scraping_date,scraping_time,floorplan_name,bedroom,bathroom,squareFootage,rent_min,rent_max,move_in_month,move_in_day,move_in_year
2022/05/20,10,a3,1,1,800,1262,1829,6,3,2022
2022/05/20,10,a3_e,1,1,800,1276,1644,6,3,2022
2022/05/20,10,a3_p,1,1,800,1281,1685,6,3,2022
2022/05/20,10,a2_p,1,1,700,1317,1612,6,3,2022
2022/05/20,10,b1dh,2,1,980,1371,1980,6,3,2022
2022/05/20,10,b1dh_e,2,1,980,1399,2007,6,3,2022
2022/05/20,10,bt_e,2,1100,1522,2000,6,3,2022
2022/05/20,10,b2dh_p,2,1000,1535,1961,6,3,2022
2022/05/20,10,b3,2,2,980,1687,2234,6,3,2022
2022/05/20,10,b5,2,2,980,1733,2294,6,3,2022
2022/05/20,10,b4,2,2,1000,2006,2523,6,3,2022
2022/05/20,10,ct_e,3,1350,2104,3274,6,3,2022
2022/05/20,10,a3_p,1,1,800,1292,1712,6,4,2022
2022/05/20,10,a3_e,1,1,800,1297,1686,6,4,2022
2022/05/20,10,a3,1,1,800,1311,1911,6,4,2022
2022/05/20,10,b1dh,2,1,980,1335,1824,6,4,2022
2022/05/20,10,bt_e,2,1100,1534,2022,6,4,2022
2022/05/20,10,b3,2,2,980,1700,2270,6,4,2022
2022/05/20,10,b5,2,2,980,1747,2284,6,4,2022
2022/05/20,10,a3_p,1,1,800,1295,1725,6,5,2022
2022/05/20,10,a3_e,1,1,800,1300,1702,6,5,2022
2022/05/20,10,a3,1,1,800,1314,1928,6,5,2022
2022/05/20,10,b1dh,2,1,980,1335,1824,6,5,2022
2022/05/20,10,bt_e,2,1100,1538,2032,6,5,2022
2022/05/20,10,b3,2,2,980,1704,2282,6,5,2022
2022/05/20,10,b5,2,2,980,1751,2296,6,5,2022
2022/05/20,10,a3_p,1,1,800,1298,1740,6,6,2022
2022/05/20,10,a3_e,1,1,800,1303,1717,6,6,2022
2022/05/20,10,a3,1,1,800,1317,1944,6,6,2022
2022/05/20,10,b1dh,2,1,980,1335,1824,6,6,2022
2022/05/20,10,bt_e,2,1100,1542,2043,6,6,2022
2022/05/20,10,b3,2,2,980,1709,2294,6,6,2022
2022/05/20,10,b5,2,2,980,1755,2308,6,6,2022
2022/05/20,10,a3_p,1,1,800,1301,1755,6,7,2022
2022/05/20,10,a3_e,1,1,800,1306,1732,6,7,2022
2022/05/20,10,a3,1,1,800,1320,1961,6,7,2022
2022/05/20,10,b1dh,2,1,980,1335,1833,6,7,2022
2022/05/20,10,bt_e,2,1100,1545,2054,6,7,2022
2022/05/20,10,b3,2,2,980,1713,2306,6,7,2022
2022/05/20,10,b5,2,2,980,1760,2320,6,7,2022
2022/05/20,10,a3_p,1,1,800,1304,1771,6,8,2022
2022/05/20,10,a3_e,1,1,800,1310,1748,6,8,2022
2022/05/20,10,a3,1,1,800,1324,1978,6,8,2022
2022/05/20,10,b1dh,2,1,980,1335,1843,6,8,2022
2022/05/20,10,bt_e,2,1100,1549,2065,6,8,2022
2022/05/20,10,b3,2,2,980,1717,2318,6,8,2022
2022/05/20,10,b5,2,2,980,1764,2332,6,8,2022
2022/05/20,10,a3_p,1,1,800,1308,1786,6,9,2022
2022/05/20,10,a3_e,1,1,800,1313,1763,6,9,2022
2022/05/20,10,a3,1,1,800,1327,1994,6,9,2022
2022/05/20,10,b1dh,2,1,980,1335,1852,6,9,2022
2022/05/20,10,bt_e,2,1100,1553,2076,6,9,2022
2022/05/20,10,b3,2,2,980,1722,2330,6,9,2022
2022/05/20,10,b5,2,2,980,1769,2344,6,9,2022
2022/05/20,10,a3_p,1,1,800,1311,1801,6,10,2022
2022/05/20,10,a3_e,1,1,800,1316,1778,6,10,2022
2022/05/20,10,a3,1,1,800,1330,2011,6,10,2022
2022/05/20,10,b1dh,2,1,980,1335,1861,6,10,2022
2022/05/20,10,bt_e,2,1100,1557,2086,6,10,2022
2022/05/20,10,b3,2,2,980,1726,2342,6,10,2022
2022/05/20,10,b5,2,2,980,1773,2356,6,10,2022
2022/05/20,10,a3_p,1,1,800,1314,1817,6,11,2022
2022/05/20,10,a3_e,1,1,800,1320,1794,6,11,2022
2022/05/20,10,a3,1,1,800,1334,2028,6,11,2022
2022/05/20,10,b1dh,2,1,980,1335,1871,6,11,2022
2022/05/20,10,bt_e,2,1100,1561,2097,6,11,2022
2022/05/20,10,b3,2,2,980,1730,2354,6,11,2022
2022/05/20,10,b5,2,2,980,1778,2368,6,11,2022
2022/05/20,10,a3_p,1,1,800,1317,1832,6,12,2022
2022/05/20,10,a3_e,1,1,800,1323,1809,6,12,2022
2022/05/20,10,b1dh,2,1,980,1335,1880,6,12,2022
2022/05/20,10,a3,1,1,800,1337,1810,6,12,2022
2022/05/20,10,bt_e,2,1100,1565,2108,6,12,2022
2022/05/20,10,b3,2,2,980,1734,2366,6,12,2022
2022/05/20,10,b5,2,2,980,1782,2380,6,12,2022
2022/05/20,10,a3_p,1,1,800,1320,1847,6,13,2022
2022/05/20,10,a3_e,1,1,800,1326,1824,6,13,2022
2022/05/20,10,b1dh,2,1,980,1335,1890,6,13,2022
2022/05/20,10,a3,1,1,800,1340,1825,6,13,2022
2022/05/20,10,bt_e,2,1100,1569,2119,6,13,2022
2022/05/20,10,b3,2,2,980,1739,2378,6,13,2022
2022/05/20,10,b5,2,2,980,1786,2392,6,13,2022
2022/05/20,10,a3_p,1,1,800,1324,1863,6,14,2022
2022/05/20,10,a3_e,1,1,800,1329,1840,6,14,2022
2022/05/20,10,b1dh,2,1,980,1335,1899,6,14,2022
2022/05/20,10,a3,1,1,800,1343,1841,6,14,2022
2022/05/20,10,bt_e,2,1100,1572,2130,6,14,2022
2022/05/20,10,b3,2,2,980,1743,2390,6,14,2022
2022/05/20,10,b5,2,2,980,1791,2404,6,14,2022
