scraping_date,scraping_time,floorplan_name,bedroom,bathroom,apartment_number,rent_min,rent_max,move_in_month,move_in_day,move_in_year
2022/05/19,15,Berkeley Deluxe,1,1,970,1790,1810,5,19,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,19,2022
2022/05/19,15,Davenport Renovated,2,2,1310,2055,2055,5,19,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2080,2080,5,19,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,19,2022
2022/05/19,15,Hampton Classic II,1,1,720,1510,1515,5,20,2022
2022/05/19,15,Hampton Deluxe,1,1,720,1630,1645,5,20,2022
2022/05/19,15,Fillmore Classic II,1,1,1040,1640,1680,5,20,2022
2022/05/19,15,Berkeley Deluxe,1,1,970,1790,1810,5,20,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,20,2022
2022/05/19,15,Davenport Renovated,2,2,1310,2055,2055,5,20,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2080,2080,5,20,2022
2022/05/19,15,Hampton Classic II,1,1,720,1510,1515,5,21,2022
2022/05/19,15,Hampton Deluxe,1,1,720,1630,1645,5,21,2022
2022/05/19,15,Fillmore Classic II,1,1,1040,1640,1680,5,21,2022
2022/05/19,15,Berkeley Deluxe,1,1,970,1790,1810,5,21,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,21,2022
2022/05/19,15,Davenport Renovated,2,2,1310,2055,2055,5,21,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2080,2080,5,21,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,21,2022
2022/05/19,15,Hampton Classic II,1,1,720,1510,1515,5,22,2022
2022/05/19,15,Hampton Deluxe,1,1,720,1630,1645,5,22,2022
2022/05/19,15,Fillmore Classic II,1,1,1040,1640,1680,5,22,2022
2022/05/19,15,Berkeley Deluxe,1,1,970,1790,1810,5,22,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,22,2022
2022/05/19,15,Davenport Renovated,2,2,1310,2055,2055,5,22,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2080,2080,5,22,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,22,2022
2022/05/19,15,Hampton Classic II,1,1,720,1510,1515,5,23,2022
2022/05/19,15,Hampton Deluxe,1,1,720,1630,1645,5,23,2022
2022/05/19,15,Fillmore Classic II,1,1,1040,1640,1680,5,23,2022
2022/05/19,15,Berkeley Deluxe,1,1,970,1790,1810,5,23,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,23,2022
2022/05/19,15,Davenport Renovated,2,2,1310,2055,2055,5,23,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2080,2080,5,23,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,23,2022
2022/05/19,15,Hampton Classic II,1,1,720,1510,1515,5,24,2022
2022/05/19,15,Hampton Deluxe,1,1,720,1630,1645,5,24,2022
2022/05/19,15,Fillmore Classic II,1,1,1040,1640,1680,5,24,2022
2022/05/19,15,Berkeley Deluxe,1,1,970,1790,1810,5,24,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,24,2022
2022/05/19,15,Davenport Renovated,2,2,1310,2055,2055,5,24,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2080,2080,5,24,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,24,2022
2022/05/19,15,Hampton Classic II,1,1,720,1510,1515,5,25,2022
2022/05/19,15,Hampton Deluxe,1,1,720,1630,1645,5,25,2022
2022/05/19,15,Fillmore Classic II,1,1,1040,1640,1680,5,25,2022
2022/05/19,15,Berkeley Deluxe,1,1,970,1790,1810,5,25,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,25,2022
2022/05/19,15,Davenport Renovated,2,2,1310,2055,2055,5,25,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2080,2080,5,25,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,25,2022
2022/05/19,15,Hampton Classic II,1,1,720,1510,1515,5,26,2022
2022/05/19,15,Hampton Deluxe,1,1,720,1630,1645,5,26,2022
2022/05/19,15,Fillmore Classic II,1,1,1040,1640,1680,5,26,2022
2022/05/19,15,Berkeley Deluxe,1,1,970,1790,1810,5,26,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,26,2022
2022/05/19,15,Davenport Renovated,2,2,1310,2055,2055,5,26,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2080,2080,5,26,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,26,2022
2022/05/19,15,Hampton Classic II,1,1,720,1510,1515,5,27,2022
2022/05/19,15,Hampton Deluxe,1,1,720,1630,1645,5,27,2022
2022/05/19,15,Fillmore Classic II,1,1,1040,1640,1680,5,27,2022
2022/05/19,15,Berkeley Deluxe,1,1,970,1790,1810,5,27,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,27,2022
2022/05/19,15,Davenport Renovated,2,2,1310,2055,2055,5,27,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2080,2080,5,27,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,27,2022
2022/05/19,15,Hampton Classic II,1,1,720,1510,1515,5,28,2022
2022/05/19,15,Hampton Deluxe,1,1,720,1630,1645,5,28,2022
2022/05/19,15,Fillmore Classic II,1,1,1040,1640,1680,5,28,2022
2022/05/19,15,Berkeley Deluxe,1,1,970,1790,1810,5,28,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,28,2022
2022/05/19,15,Davenport Renovated,2,2,1310,2055,2055,5,28,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2080,2080,5,28,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,28,2022
2022/05/19,15,Hampton Classic II,1,1,720,1510,1515,5,29,2022
2022/05/19,15,Hampton Deluxe,1,1,720,1630,1645,5,29,2022
2022/05/19,15,Fillmore Classic II,1,1,1040,1640,1680,5,29,2022
2022/05/19,15,Berkeley Deluxe,1,1,970,1790,1810,5,29,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,29,2022
2022/05/19,15,Davenport Renovated,2,2,1310,2055,2055,5,29,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2080,2080,5,29,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,29,2022
2022/05/19,15,Hampton Classic II,1,1,720,1515,1515,5,30,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,30,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,30,2022
2022/05/19,15,Hampton Classic II,1,1,720,1515,1515,5,31,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,5,31,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,5,31,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,6,1,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,6,1,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,6,2,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,6,2,2022
2022/05/19,15,Fillmore Deluxe,1,1,1040,1815,1815,6,3,2022
2022/05/19,15,Davenport Classic II,2,2,1310,1855,1855,6,3,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,6,3,2022
2022/05/19,15,Davenport Classic II,2,2,1310,1855,1855,6,4,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2065,2065,6,4,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,6,4,2022
2022/05/19,15,Davenport Classic II,2,2,1310,1855,1855,6,5,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2065,2065,6,5,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,6,5,2022
2022/05/19,15,Davenport Classic II,2,2,1310,1855,1855,6,6,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2065,2065,6,6,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,6,6,2022
2022/05/19,15,Davenport Classic II,2,2,1310,1855,1855,6,7,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2065,2065,6,7,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,6,7,2022
2022/05/19,15,Davenport Classic II,2,2,1310,1855,1855,6,8,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2065,2065,6,8,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,6,8,2022
2022/05/19,15,Davenport Classic II,2,2,1310,1855,1855,6,9,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2065,2065,6,9,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,6,9,2022
2022/05/19,15,Davenport Classic II,2,2,1310,1855,1855,6,10,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2065,2065,6,10,2022
2022/05/19,15,Englewood Deluxe,2,2,1380,2270,2270,6,10,2022
2022/05/19,15,Hampton Classic II,1,1,720,1500,1500,6,11,2022
2022/05/19,15,Davenport Classic II,2,2,1310,1855,1855,6,11,2022
2022/05/19,15,Davenport Deluxe,2,2,1310,2065,2065,6,11,2022
